words@avi1969m	@avi1969m	47.142	47.435	писателем
words@avi1969m	@avi1969m	47.435	47.728	я
words@avi1969m	@avi1969m	47.728	48.021	стал
words@avi1969m	@avi1969m	48.021	48.314	э
words@avi1969m	@avi1969m	48.314	48.607	профессиональным
words@avi1969m	@avi1969m	48.607	48.9	тогда
words@avi1969m	@avi1969m	48.9	49.193	когда
words@avi1969m	@avi1969m	49.193	49.486	у
words@avi1969m	@avi1969m	49.486	49.779	меня
words@avi1969m	@avi1969m	49.779	50.072	вышли
words@avi1969m	@avi1969m	50.072	50.365	первые
words@avi1969m	@avi1969m	50.365	50.658	книги
words@avi1969m	@avi1969m	50.658	50.951	/
words@avi1969m	@avi1969m	50.951	51.244	тогда
words@avi1969m	@avi1969m	51.244	51.537	когда
words@avi1969m	@avi1969m	51.537	51.83	я
words@avi1969m	@avi1969m	51.83	52.123	смог
words@avi1969m	@avi1969m	52.123	52.416	жить
words@avi1969m	@avi1969m	52.416	52.709	на
words@avi1969m	@avi1969m	52.709	53.002	писательские
words@avi1969m	@avi1969m	53.002	53.295	доходы
words@avi1969m	@avi1969m	53.295	53.588	/
words@avi1969m	@avi1969m	53.588	53.881	то
words@avi1969m	@avi1969m	53.881	54.174	есть
words@avi1969m	@avi1969m	54.174	54.467	я
words@avi1969m	@avi1969m	54.467	54.76	уволился
words@avi1969m	@avi1969m	54.76	55.053	со
words@avi1969m	@avi1969m	55.053	55.346	всех
words@avi1969m	@avi1969m	55.346	55.639	работ
words@avi1969m	@avi1969m	55.639	55.932	/
words@avi1969m	@avi1969m	55.932	56.225	и
words@avi1969m	@avi1969m	56.225	56.518	занялся
words@avi1969m	@avi1969m	56.518	56.811	только
words@avi1969m	@avi1969m	56.811	57.104	литературной
words@avi1969m	@avi1969m	57.104	57.397	деятельностью
words@avi1969m	@avi1969m	57.397	57.69	/
words@avi1969m	@avi1969m	57.69	57.983	это
words@avi1969m	@avi1969m	57.983	58.276	было
words@avi1969m	@avi1969m	58.276	58.569	в
words@avi1969m	@avi1969m	58.569	58.862	2003
words@avi1969m	@avi1969m	58.862	59.155	году
words@avi1969m	@avi1969m	59.155	59.448	/
words@avi1969m	@avi1969m	59.448	59.741	/
words@avi1969m	@avi1969m	59.741	60.034	а
words@avi1969m	@avi1969m	60.034	60.327	когда
words@avi1969m	@avi1969m	60.327	60.62	я
words@avi1969m	@avi1969m	60.62	60.913	понял
words@avi1969m	@avi1969m	60.913	61.206	у
words@avi1969m	@avi1969m	61.206	61.499	меня
words@avi1969m	@avi1969m	61.499	61.792	получается
words@avi1969m	@avi1969m	61.792	62.085	?
words@avi1969m	@avi1969m	62.085	62.378	/
words@avi1969m	@avi1969m	62.378	62.671	/
words@avi1969m	@avi1969m	62.671	62.964	а
words@avi1969m	@avi1969m	62.964	63.257	я
words@avi1969m	@avi1969m	63.257	63.55	вот
words@avi1969m	@avi1969m	63.55	63.843	всегда
words@avi1969m	@avi1969m	63.843	64.136	был
words@avi1969m	@avi1969m	64.136	64.429	уверен
words@avi1969m	@avi1969m	64.429	64.722	что
words@avi1969m	@avi1969m	64.722	65.015	у
words@avi1969m	@avi1969m	65.015	65.308	меня
words@avi1969m	@avi1969m	65.308	65.601	получается
words@avi1969m	@avi1969m	65.601	65.894	/
words@avi1969m	@avi1969m	65.894	66.187	я
words@avi1969m	@avi1969m	66.187	66.48	никогда
words@avi1969m	@avi1969m	66.48	66.773	в
words@avi1969m	@avi1969m	66.773	67.066	себе
words@avi1969m	@avi1969m	67.066	67.359	не
words@avi1969m	@avi1969m	67.359	67.652	сомневался
words@avi1969m	@avi1969m	67.652	67.945	/
words@avi1969m	@avi1969m	67.945	68.238	даже
words@avi1969m	@avi1969m	68.238	68.531	когда
words@avi1969m	@avi1969m	68.531	68.824	писал
words@avi1969m	@avi1969m	68.824	69.117	какие-то
words@avi1969m	@avi1969m	69.117	69.41	там
words@avi1969m	@avi1969m	69.41	69.703	детские
words@avi1969m	@avi1969m	69.703	69.996	фантастические
words@avi1969m	@avi1969m	69.996	70.289	повести
words@avi1969m	@avi1969m	70.289	70.582	/
words@avi1969m	@avi1969m	70.582	70.875	я
words@avi1969m	@avi1969m	70.875	71.168	всегда
words@avi1969m	@avi1969m	71.168	71.461	был
words@avi1969m	@avi1969m	71.461	71.754	уверен
words@avi1969m	@avi1969m	71.754	72.047	что
words@avi1969m	@avi1969m	72.047	72.34	я
words@avi1969m	@avi1969m	72.34	72.633	сделал
words@avi1969m	@avi1969m	72.633	72.926	так
words@avi1969m	@avi1969m	72.926	73.219	как
words@avi1969m	@avi1969m	73.219	73.512	надо
words@avi1969m	@avi1969m	73.512	73.805	сделать
words@avi1969m	@avi1969m	73.805	74.098	/
words@avi1969m	@avi1969m	74.098	74.391	и
words@avi1969m	@avi1969m	74.391	74.684	делал
words@avi1969m	@avi1969m	74.684	74.977	замечательно
words@avi1969m	@avi1969m	74.977	75.27	/
words@avi1969m	@avi1969m	75.27	75.563	/
words@avi1969m	@avi1969m	75.563	75.856	может
words@avi1969m	@avi1969m	75.856	76.149	быть
words@avi1969m	@avi1969m	76.149	76.442	это
words@avi1969m	@avi1969m	76.442	76.735	нескромно
words@avi1969m	@avi1969m	76.735	77.028	/
words@avi1969m	@avi1969m	77.028	77.321	/
words@avi1969m	@avi1969m	77.321	77.614	вот
words@avi1969m	@avi1969m	77.614	77.907	может
words@avi1969m	@avi1969m	77.907	78.2	быть
words@avi1969m	@avi1969m	78.2	78.493	в
words@avi1969m	@avi1969m	78.493	78.786	этом
words@avi1969m	@avi1969m	78.786	79.079	был
words@avi1969m	@avi1969m	79.079	79.372	какой-то
words@avi1969m	@avi1969m	79.372	79.665	самообман
words@avi1969m	@avi1969m	79.665	79.958	/
words@avi1969m	@avi1969m	79.958	80.251	но
words@avi1969m	@avi1969m	80.251	80.544	тем
words@avi1969m	@avi1969m	80.544	80.837	не
words@avi1969m	@avi1969m	80.837	81.13	менее
words@avi1969m	@avi1969m	81.13	81.423	сомнений
words@avi1969m	@avi1969m	81.423	81.716	в
words@avi1969m	@avi1969m	81.716	82.009	себе
words@avi1969m	@avi1969m	82.009	82.302	у
words@avi1969m	@avi1969m	82.302	82.595	меня
words@avi1969m	@avi1969m	82.595	82.888	никогда
words@avi1969m	@avi1969m	82.888	83.181	не
words@avi1969m	@avi1969m	83.181	83.474	было
words@avi1969m	@avi1969m	83.474	83.767	/
words@avi1969m	@avi1969m	83.767	84.08	/
words@avi1969m	@avi1969m	89.945	90.259	вот
words@avi1969m	@avi1969m	90.259	90.573	я
words@avi1969m	@avi1969m	90.573	90.887	недавно
words@avi1969m	@avi1969m	90.887	91.201	рылся
words@avi1969m	@avi1969m	91.201	91.515	в
words@avi1969m	@avi1969m	91.515	91.829	своих
words@avi1969m	@avi1969m	91.829	92.143	вещах
words@avi1969m	@avi1969m	92.143	92.457	и
words@avi1969m	@avi1969m	92.457	92.771	обнаружил
words@avi1969m	@avi1969m	92.771	93.085	школьную
words@avi1969m	@avi1969m	93.085	93.399	тетрадку
words@avi1969m	@avi1969m	93.399	93.713	/
words@avi1969m	@avi1969m	93.713	94.027	исписанную
words@avi1969m	@avi1969m	94.027	94.341	примерно
words@avi1969m	@avi1969m	94.341	94.655	на
words@avi1969m	@avi1969m	94.655	94.969	треть
words@avi1969m	@avi1969m	94.969	95.283	/
words@avi1969m	@avi1969m	95.283	95.597	четырнадцать
words@avi1969m	@avi1969m	95.597	95.911	страниц
words@avi1969m	@avi1969m	95.911	96.225	там
words@avi1969m	@avi1969m	96.225	96.539	было
words@avi1969m	@avi1969m	96.539	96.853	исписано
words@avi1969m	@avi1969m	96.853	97.167	детскими
words@avi1969m	@avi1969m	97.167	97.481	каракулями
words@avi1969m	@avi1969m	97.481	97.795	/
words@avi1969m	@avi1969m	97.795	98.109	э
words@avi1969m	@avi1969m	98.109	98.423	вот
words@avi1969m	@avi1969m	98.423	98.737	и
words@avi1969m	@avi1969m	98.737	99.051	на
words@avi1969m	@avi1969m	99.051	99.365	обложке
words@avi1969m	@avi1969m	99.365	99.679	было
words@avi1969m	@avi1969m	99.679	99.993	написано
words@avi1969m	@avi1969m	99.993	100.307	"три
words@avi1969m	@avi1969m	100.307	100.621	робинзона
words@avi1969m	@avi1969m	100.621	100.935	/
words@avi1969m	@avi1969m	100.935	101.249	фантастический
words@avi1969m	@avi1969m	101.249	101.563	роман
words@avi1969m	@avi1969m	101.563	101.877	/
words@avi1969m	@avi1969m	101.877	102.191	алеша
words@avi1969m	@avi1969m	102.191	102.505	иванов
words@avi1969m	@avi1969m	102.505	102.819	шесть
words@avi1969m	@avi1969m	102.819	103.133	лет"
words@avi1969m	@avi1969m	103.133	103.447	/
words@avi1969m	@avi1969m	103.447	103.761	/
words@avi1969m	@avi1969m	103.761	104.075	то
words@avi1969m	@avi1969m	104.075	104.389	есть
words@avi1969m	@avi1969m	104.389	104.703	вот
words@avi1969m	@avi1969m	104.703	105.017	уже
words@avi1969m	@avi1969m	105.017	105.331	в
words@avi1969m	@avi1969m	105.331	105.645	шесть
words@avi1969m	@avi1969m	105.645	105.959	лет
words@avi1969m	@avi1969m	105.959	106.273	я
words@avi1969m	@avi1969m	106.273	106.587	был
words@avi1969m	@avi1969m	106.587	106.901	/
words@avi1969m	@avi1969m	106.901	107.215	э
words@avi1969m	@avi1969m	107.215	107.529	писателем
words@avi1969m	@avi1969m	107.529	107.843	/
words@avi1969m	@avi1969m	107.843	108.157	и
words@avi1969m	@avi1969m	108.157	108.471	писателем
words@avi1969m	@avi1969m	108.471	108.785	причем
words@avi1969m	@avi1969m	108.785	109.099	сразу
words@avi1969m	@avi1969m	109.099	109.413	же
words@avi1969m	@avi1969m	109.413	109.727	масштабным
words@avi1969m	@avi1969m	109.727	110.041	/
words@avi1969m	@avi1969m	110.041	110.355	/
words@avi1969m	@avi1969m	110.355	110.669	э
words@avi1969m	@avi1969m	110.669	110.983	дело
words@avi1969m	@avi1969m	110.983	111.297	в
words@avi1969m	@avi1969m	111.297	111.611	том
words@avi1969m	@avi1969m	111.611	111.925	что
words@avi1969m	@avi1969m	111.925	112.239	я
words@avi1969m	@avi1969m	112.239	112.553	всегда
words@avi1969m	@avi1969m	112.553	112.867	хотел
words@avi1969m	@avi1969m	112.867	113.181	быть
words@avi1969m	@avi1969m	113.181	113.495	писателем
words@avi1969m	@avi1969m	113.495	113.809	/
words@avi1969m	@avi1969m	113.809	114.123	вот
words@avi1969m	@avi1969m	114.123	114.437	сколько
words@avi1969m	@avi1969m	114.437	114.751	себя
words@avi1969m	@avi1969m	114.751	115.065	помню
words@avi1969m	@avi1969m	115.065	115.379	/
words@avi1969m	@avi1969m	115.379	115.693	/
words@avi1969m	@avi1969m	115.693	116.007	дети
words@avi1969m	@avi1969m	116.007	116.321	мальчики
words@avi1969m	@avi1969m	116.321	116.635	хотят
words@avi1969m	@avi1969m	116.635	116.949	стать
words@avi1969m	@avi1969m	116.949	117.263	там
words@avi1969m	@avi1969m	117.263	117.577	/
words@avi1969m	@avi1969m	117.577	117.891	пожарными
words@avi1969m	@avi1969m	117.891	118.205	/
words@avi1969m	@avi1969m	118.205	118.519	там
words@avi1969m	@avi1969m	118.519	118.833	/
words@avi1969m	@avi1969m	118.833	119.147	летчиками
words@avi1969m	@avi1969m	119.147	119.461	космонавтами
words@avi1969m	@avi1969m	119.461	119.775	там
words@avi1969m	@avi1969m	119.775	120.089	бандитами
words@avi1969m	@avi1969m	120.089	120.403	/
words@avi1969m	@avi1969m	120.403	120.717	а
words@avi1969m	@avi1969m	120.717	121.031	мне
words@avi1969m	@avi1969m	121.031	121.345	всегда
words@avi1969m	@avi1969m	121.345	121.659	казалось
words@avi1969m	@avi1969m	121.659	121.973	/
words@avi1969m	@avi1969m	121.973	122.287	что
words@avi1969m	@avi1969m	122.287	122.601	интереснее
words@avi1969m	@avi1969m	122.601	122.915	профессии
words@avi1969m	@avi1969m	122.915	123.229	чем
words@avi1969m	@avi1969m	123.229	123.543	писатель
words@avi1969m	@avi1969m	123.543	123.857	/
words@avi1969m	@avi1969m	123.857	124.171	не
words@avi1969m	@avi1969m	124.171	124.485	существует
words@avi1969m	@avi1969m	124.485	124.799	/
words@avi1969m	@avi1969m	124.799	125.113	что
words@avi1969m	@avi1969m	125.113	125.427	лучшая
words@avi1969m	@avi1969m	125.427	125.741	работа
words@avi1969m	@avi1969m	125.741	126.055	на
words@avi1969m	@avi1969m	126.055	126.369	свете
words@avi1969m	@avi1969m	126.369	126.683	/
words@avi1969m	@avi1969m	126.683	126.997	это
words@avi1969m	@avi1969m	126.997	127.311	работа
words@avi1969m	@avi1969m	127.311	127.625	писателя
words@avi1969m	@avi1969m	127.625	127.939	/
words@avi1969m	@avi1969m	127.939	128.285	/
words@avi1969m	@avi1969m	144.885	145.164	нет
words@avi1969m	@avi1969m	145.164	145.443	/
words@avi1969m	@avi1969m	145.443	145.722	э
words@avi1969m	@avi1969m	145.722	146.001	такого
words@avi1969m	@avi1969m	146.001	146.28	не
words@avi1969m	@avi1969m	146.28	146.559	было
words@avi1969m	@avi1969m	146.559	146.838	никогда
words@avi1969m	@avi1969m	146.838	147.117	/
words@avi1969m	@avi1969m	147.117	147.396	/
words@avi1969m	@avi1969m	147.396	147.675	было
words@avi1969m	@avi1969m	147.675	147.954	отчаяние
words@avi1969m	@avi1969m	147.954	148.233	от
words@avi1969m	@avi1969m	148.233	148.512	того
words@avi1969m	@avi1969m	148.512	148.791	что
words@avi1969m	@avi1969m	148.791	149.07	не
words@avi1969m	@avi1969m	149.07	149.349	публикуют
words@avi1969m	@avi1969m	149.349	149.628	/
words@avi1969m	@avi1969m	149.628	149.907	особенно
words@avi1969m	@avi1969m	149.907	150.186	тогда
words@avi1969m	@avi1969m	150.186	150.465	когда
words@avi1969m	@avi1969m	150.465	150.744	уже
words@avi1969m	@avi1969m	150.744	151.023	начал
words@avi1969m	@avi1969m	151.023	151.302	писать
words@avi1969m	@avi1969m	151.302	151.581	на
words@avi1969m	@avi1969m	151.581	151.86	публикабельном
